,Date,Open
0,2020-05-09,183.79748170372696
1,2020-05-10,184.13410603900385
2,2020-05-11,184.33208877212724
3,2020-05-12,184.39639749485875
4,2020-05-13,184.53842043582816
5,2020-05-14,184.67124237343793
6,2020-05-15,184.79723845106253
7,2020-05-16,184.92702534263736
8,2020-05-17,185.05604164951595
9,2020-05-18,185.18451471856486
10,2020-05-19,185.31297447768875
11,2020-05-20,185.4411834455338
12,2020-05-21,185.56915907195526
13,2020-05-22,185.69692852657158
14,2020-05-23,185.82448132512997
15,2020-05-24,185.95181918092186
16,2020-05-25,186.07894486153398
17,2020-05-26,186.20585825333163
18,2020-05-27,186.3325605638127
19,2020-05-28,186.45905415721072
20,2020-05-29,186.5853385988069
21,2020-05-30,186.71141577200262
22,2020-05-31,186.83728705370052
23,2020-06-01,186.9629529886446
24,2020-06-02,187.08841524814622
25,2020-06-03,187.21367416116087
26,2020-06-04,187.33873088255916
27,2020-06-05,187.46358695917561
28,2020-06-06,187.58824360580067
29,2020-06-07,187.71270064721216
